source_column,destination_column,matching_rule
Customer_ID,cust_key,Remove prefix 'CUST' and convert to integer
CD_Number,cd_key,Remove prefix 'CD-' and convert to integer
Issue_Date,issue_dt,Convert date format YYYY-MM-DD to DD-MMM-YYYY
Term_Months,term_mo,Direct numeric match
Principal_Amount,principal_amt,Direct numeric match with tolerance
Interest_Rate,rate_pct,Direct numeric match with tolerance
Interest_Payout_Frequency,payout_freq_cd,Use payout frequency value mapping
Rate_Type,rate_type_cd,Use rate type value mapping
Auto_Renew,auto_renew_ind,Use boolean value mapping
Status,status_cd,Use CD status value mapping
Branch_Code,branch_id,Remove prefix 'BR-' and convert to integer
Currency,ccy_cd,Direct match
Interest_Accrual_Method,accrual_cd,Use accrual method value mapping
Brokered_Flag,brokered_ind,Use boolean value mapping
