column_name,source_value,destination_value,rule_description
Interest_Payout_Frequency,MONTHLY,M,Monthly interest payout
Interest_Payout_Frequency,QUARTERLY,Q,Quarterly interest payout
Interest_Payout_Frequency,AT_MATURITY,A,Payout at maturity

Rate_Type,FIXED,F,Fixed interest rate
Rate_Type,VARIABLE,V,Variable interest rate

Status,ACTIVE,A,Active certificate of deposit
Status,MATURED,M,Matured certificate of deposit
Status,CLOSED,C,Closed certificate of deposit

Auto_Renew,YES,1,Auto-renew enabled
Auto_Renew,NO,0,Auto-renew disabled

Brokered_Flag,YES,1,Brokered CD
Brokered_Flag,NO,0,Non-brokered CD

Interest_Accrual_Method,30_360,30360,30/360 accrual convention
Interest_Accrual_Method,ACT_365,ACT365,Actual/365 accrual convention
