cust_key,cd_key,issue_dt,term_mo,principal_amt,rate_pct,payout_freq_cd,rate_type_cd,auto_renew_ind,status_cd,branch_id,ccy_cd,accrual_cd,brokered_ind
714,1000001,18-MAR-2020,60,87107.81,4.017,A,F,1,M,23,USD,30360,0
6191,1000002,01-JUL-2024,36,105543.58,2.421,M,V,0,A,29,USD,ACT365,0
5236,1000003,03-MAY-2021,6,246182.5,1.281,A,V,1,M,112,USD,30360,1
3511,1000004,10-JUN-2024,60,21506.43,4.06,M,V,0,A,127,USD,ACT365,0
3464,1000005,11-JUL-2023,60,28356.96,3.923,Q,V,1,A,114,USD,30360,0
6868,1000006,07-APR-2021,3,109124.9,1.15,Q,V,0,M,42,USD,30360,0
688,1000007,07-DEC-2022,3,42726.29,0.326,M,V,0,M,29,USD,30360,0
5579,1000008,24-MAR-2020,9,171365.13,1.091,Q,V,0,M,126,USD,ACT365,0
1612,1000009,19-MAY-2024,48,90489.04,3.052,M,V,0,A,30,USD,ACT365,0
754,1000010,23-NOV-2021,24,211628.76,1.809,M,F,0,M,80,USD,30360,0
4212,1000011,24-MAY-2022,18,187278.33,1.706,A,F,1,M,4,USD,ACT365,0
7805,1000012,24-DEC-2020,12,117966.3,1.121,Q,F,1,M,15,USD,ACT365,0
5886,1000013,12-APR-2022,18,211322.36,2.347,Q,F,1,M,15,USD,ACT365,0
6089,1000014,21-JUN-2022,24,25654.3,2.238,M,V,1,M,34,USD,30360,0
5740,1000015,28-MAY-2021,3,145484.2,0.682,M,V,1,M,118,USD,30360,1
6288,1000016,11-FEB-2026,24,151480.68,1.471,A,V,1,A,5,USD,ACT365,0
4106,1000017,30-SEP-2021,6,61882.27,0.916,M,V,1,M,51,USD,ACT365,0
1025,1000018,17-FEB-2021,48,12880.52,3.245,Q,F,0,M,32,USD,30360,0
6718,1000019,04-JUN-2023,6,134032.14,0.898,A,V,1,M,37,USD,ACT365,0
3603,1000020,28-DEC-2021,3,128662.42,1.85,A,F,0,M,37,USD,ACT365,0
4003,1000021,01-NOV-2022,12,163576.13,0.861,Q,V,1,M,12,USD,30360,0
2967,1000022,11-JUL-2024,12,53625.72,1.458,Q,F,1,M,21,USD,30360,0
1461,1000023,27-JUN-2020,18,45321.02,1.715,A,F,0,M,84,USD,30360,0
7414,1000024,07-MAR-2023,48,244490.01,3.273,Q,F,0,A,87,USD,ACT365,0
6252,1000025,19-FEB-2020,36,28865.28,2.041,Q,V,1,M,24,USD,30360,1
5151,1000026,10-APR-2020,12,249852.44,1.425,M,F,0,M,14,USD,30360,0
3219,1000027,30-JUL-2020,36,180134.21,2.783,A,F,0,M,13,USD,ACT365,0
6582,1000028,03-JAN-2021,18,157515.9,2.008,M,V,1,M,130,USD,ACT365,0
4363,1000029,08-MAR-2022,9,85275.98,1.449,M,V,0,M,12,USD,ACT365,0
3547,1000030,03-NOV-2025,3,217016.87,1.386,A,V,1,M,99,USD,ACT365,0
3604,1000031,29-AUG-2025,3,227560.37,0.25,A,F,1,M,92,USD,ACT365,0
1818,1000032,23-AUG-2020,9,180610.06,1.198,Q,F,1,M,17,USD,30360,0
737,1000033,10-MAR-2026,48,177617.2,4.237,A,F,1,A,47,USD,30360,0
4437,1000034,19-DEC-2023,18,123542.08,2.131,Q,V,1,M,17,USD,ACT365,0
7103,1000035,16-JUN-2023,18,19919.8,1.251,Q,V,0,M,111,USD,30360,0
511,1000036,12-DEC-2024,12,249757.75,1.471,M,V,1,M,114,USD,ACT365,0
6866,1000037,10-JAN-2023,9,4381.07,0.913,Q,V,0,M,42,USD,30360,0
6621,1000038,28-AUG-2021,36,124101.65,2.569,M,V,1,M,1,USD,30360,1
2214,1000039,23-APR-2023,3,92100.01,1.66,M,F,1,M,91,USD,ACT365,0
5053,1000040,11-JUL-2024,24,194145.02,2.415,Q,F,0,A,76,USD,ACT365,0
1322,1000041,06-APR-2024,60,184077.2,3.468,A,V,0,A,25,USD,ACT365,1
6064,1000042,22-JAN-2021,48,157198.4,3.092,A,F,1,M,144,USD,30360,0
5604,1000043,09-NOV-2025,12,19147.27,1.44,Q,F,1,A,23,USD,30360,0
2836,1000044,11-OCT-2021,48,59593.94,3.267,Q,F,1,M,108,USD,ACT365,0
544,1000045,13-FEB-2025,9,23992.53,1.39,Q,V,0,M,42,USD,ACT365,0
7765,1000046,12-DEC-2021,9,244754.6,1.009,A,V,0,M,39,USD,30360,0
3566,1000047,24-MAY-2020,12,32381.83,1.312,Q,F,0,M,122,USD,ACT365,0
7145,1000048,22-MAR-2026,3,241814.58,0.685,A,F,1,A,105,USD,ACT365,0
