Customer_ID,CD_Number,Issue_Date,Term_Months,Principal_Amount,Interest_Rate,Interest_Payout_Frequency,Rate_Type,Auto_Renew,Status,Branch_Code,Currency,Interest_Accrual_Method,Brokered_Flag
CUST000714,CD-1000001,2020-03-18,60,87107.81,4.017,AT_MATURITY,FIXED,YES,MATURED,BR-023,USD,30_360,NO
CUST006191,CD-1000002,2024-07-01,36,105543.58,2.421,MONTHLY,VARIABLE,NO,ACTIVE,BR-029,USD,ACT_365,NO
CUST005236,CD-1000003,2021-05-03,6,246182.5,1.281,AT_MATURITY,VARIABLE,YES,MATURED,BR-112,USD,30_360,YES
CUST003511,CD-1000004,2024-06-10,60,21506.43,4.06,MONTHLY,VARIABLE,NO,ACTIVE,BR-127,USD,ACT_365,NO
CUST003464,CD-1000005,2023-07-11,60,28356.96,3.923,QUARTERLY,VARIABLE,YES,ACTIVE,BR-114,USD,30_360,NO
CUST006868,CD-1000006,2021-04-07,3,109124.9,1.15,QUARTERLY,VARIABLE,NO,MATURED,BR-042,USD,30_360,NO
CUST000688,CD-1000007,2022-12-07,3,42726.29,0.326,MONTHLY,VARIABLE,NO,MATURED,BR-029,USD,30_360,NO
CUST005579,CD-1000008,2020-03-24,9,171365.13,1.091,QUARTERLY,VARIABLE,NO,MATURED,BR-126,USD,ACT_365,NO
CUST001612,CD-1000009,2024-05-19,48,90489.04,3.052,MONTHLY,VARIABLE,NO,ACTIVE,BR-030,USD,ACT_365,NO
CUST000754,CD-1000010,2021-11-23,24,211628.76,1.809,MONTHLY,FIXED,NO,MATURED,BR-080,USD,30_360,NO
CUST004212,CD-1000011,2022-05-24,18,187278.33,1.706,AT_MATURITY,FIXED,YES,MATURED,BR-004,USD,ACT_365,NO
CUST007805,CD-1000012,2020-12-24,12,117966.3,1.121,QUARTERLY,FIXED,YES,MATURED,BR-015,USD,ACT_365,NO
CUST005886,CD-1000013,2022-04-12,18,211322.36,2.347,QUARTERLY,FIXED,YES,MATURED,BR-015,USD,ACT_365,NO
CUST006089,CD-1000014,2022-06-21,24,25654.3,2.238,MONTHLY,VARIABLE,YES,MATURED,BR-034,USD,30_360,NO
CUST005740,CD-1000015,2021-05-28,3,145484.2,0.682,MONTHLY,VARIABLE,YES,MATURED,BR-118,USD,30_360,YES
CUST006288,CD-1000016,2026-02-11,24,151480.68,1.471,AT_MATURITY,VARIABLE,YES,ACTIVE,BR-005,USD,ACT_365,NO
CUST004106,CD-1000017,2021-09-30,6,61882.27,0.916,MONTHLY,VARIABLE,YES,MATURED,BR-051,USD,ACT_365,NO
CUST001025,CD-1000018,2021-02-17,48,12880.52,3.245,QUARTERLY,FIXED,NO,MATURED,BR-032,USD,30_360,NO
