source_column,destination_column,matching_rule,is_key
Student_ID,student_key,Remove prefix 'S' and convert to integer,True
Student_Name,student_full_name,Direct match,False
Program_Status,status_cd,Use status value mapping,False
Exam_Result,result_cd,Use result value mapping,False
Training_Mode,mode_cd,Use training mode value mapping,False
Course_Code,course_id,Remove prefix 'TR-' and convert to integer,True
Academic_Year,year,Direct match,True
Course_Fee,fee_amount,Direct numeric match with tolerance,False
Enrollment_Date,enroll_dt,Convert date format YYYY-MM-DD to DD-MMM-YYYY,False
Completion_Date,complete_dt,Convert date format YYYY-MM-DD to DD-MMM-YYYY (allow null),False
Instructor_Name,instructor,Direct match,False
Institute,institute_name,Direct match,False
Scholarship_Eligible,scholarship_flag,Use boolean value mapping,False
Credits,credit_points,Direct numeric match,False
