composite_key,source_row_index,dest_row_index,source_column,destination_column,issue_type,severity,rule_applied,source_value_raw,source_value_transformed,dest_value_raw,dest_value_transformed,expected_dest_value,difference,timestamp,key_Customer_ID_source,key_CD_Number_source,key_Issue_Date_source
CUST000714|CD-1000001|2020-03-18,0,,"Customer_ID,CD_Number,Issue_Date",,KEY_MISSING_IN_DEST,High,composite_key,CUST000714|CD-1000001|2020-03-18,CUST000714|CD-1000001|2020-03-18,,,,,2026-05-02T18:18:29.896605Z,CUST000714,CD-1000001,2020-03-18
CUST006191|CD-1000002|2024-07-01,1,,"Customer_ID,CD_Number,Issue_Date",,KEY_MISSING_IN_DEST,High,composite_key,CUST006191|CD-1000002|2024-07-01,CUST006191|CD-1000002|2024-07-01,,,,,2026-05-02T18:18:29.896605Z,CUST006191,CD-1000002,2024-07-01
CUST005236|CD-1000003|2021-05-03,2,,"Customer_ID,CD_Number,Issue_Date",,KEY_MISSING_IN_DEST,High,composite_key,CUST005236|CD-1000003|2021-05-03,CUST005236|CD-1000003|2021-05-03,,,,,2026-05-02T18:18:29.896605Z,CUST005236,CD-1000003,2021-05-03
CUST003511|CD-1000004|2024-06-10,3,,"Customer_ID,CD_Number,Issue_Date",,KEY_MISSING_IN_DEST,High,composite_key,CUST003511|CD-1000004|2024-06-10,CUST003511|CD-1000004|2024-06-10,,,,,2026-05-02T18:18:29.896605Z,CUST003511,CD-1000004,2024-06-10
CUST003464|CD-1000005|2023-07-11,4,,"Customer_ID,CD_Number,Issue_Date",,KEY_MISSING_IN_DEST,High,composite_key,CUST003464|CD-1000005|2023-07-11,CUST003464|CD-1000005|2023-07-11,,,,,2026-05-02T18:18:29.896605Z,CUST003464,CD-1000005,2023-07-11
CUST006868|CD-1000006|2021-04-07,5,,"Customer_ID,CD_Number,Issue_Date",,KEY_MISSING_IN_DEST,High,composite_key,CUST006868|CD-1000006|2021-04-07,CUST006868|CD-1000006|2021-04-07,,,,,2026-05-02T18:18:29.896605Z,CUST006868,CD-1000006,2021-04-07
CUST000688|CD-1000007|2022-12-07,6,,"Customer_ID,CD_Number,Issue_Date",,KEY_MISSING_IN_DEST,High,composite_key,CUST000688|CD-1000007|2022-12-07,CUST000688|CD-1000007|2022-12-07,,,,,2026-05-02T18:18:29.896605Z,CUST000688,CD-1000007,2022-12-07
CUST005579|CD-1000008|2020-03-24,7,,"Customer_ID,CD_Number,Issue_Date",,KEY_MISSING_IN_DEST,High,composite_key,CUST005579|CD-1000008|2020-03-24,CUST005579|CD-1000008|2020-03-24,,,,,2026-05-02T18:18:29.896605Z,CUST005579,CD-1000008,2020-03-24
CUST001612|CD-1000009|2024-05-19,8,,"Customer_ID,CD_Number,Issue_Date",,KEY_MISSING_IN_DEST,High,composite_key,CUST001612|CD-1000009|2024-05-19,CUST001612|CD-1000009|2024-05-19,,,,,2026-05-02T18:18:29.896605Z,CUST001612,CD-1000009,2024-05-19
CUST000754|CD-1000010|2021-11-23,9,,"Customer_ID,CD_Number,Issue_Date",,KEY_MISSING_IN_DEST,High,composite_key,CUST000754|CD-1000010|2021-11-23,CUST000754|CD-1000010|2021-11-23,,,,,2026-05-02T18:18:29.896605Z,CUST000754,CD-1000010,2021-11-23
CUST004212|CD-1000011|2022-05-24,10,,"Customer_ID,CD_Number,Issue_Date",,KEY_MISSING_IN_DEST,High,composite_key,CUST004212|CD-1000011|2022-05-24,CUST004212|CD-1000011|2022-05-24,,,,,2026-05-02T18:18:29.896605Z,CUST004212,CD-1000011,2022-05-24
CUST007805|CD-1000012|2020-12-24,11,,"Customer_ID,CD_Number,Issue_Date",,KEY_MISSING_IN_DEST,High,composite_key,CUST007805|CD-1000012|2020-12-24,CUST007805|CD-1000012|2020-12-24,,,,,2026-05-02T18:18:29.896605Z,CUST007805,CD-1000012,2020-12-24
CUST005886|CD-1000013|2022-04-12,12,,"Customer_ID,CD_Number,Issue_Date",,KEY_MISSING_IN_DEST,High,composite_key,CUST005886|CD-1000013|2022-04-12,CUST005886|CD-1000013|2022-04-12,,,,,2026-05-02T18:18:29.896605Z,CUST005886,CD-1000013,2022-04-12
CUST006089|CD-1000014|2022-06-21,13,,"Customer_ID,CD_Number,Issue_Date",,KEY_MISSING_IN_DEST,High,composite_key,CUST006089|CD-1000014|2022-06-21,CUST006089|CD-1000014|2022-06-21,,,,,2026-05-02T18:18:29.896605Z,CUST006089,CD-1000014,2022-06-21
CUST005740|CD-1000015|2021-05-28,14,,"Customer_ID,CD_Number,Issue_Date",,KEY_MISSING_IN_DEST,High,composite_key,CUST005740|CD-1000015|2021-05-28,CUST005740|CD-1000015|2021-05-28,,,,,2026-05-02T18:18:29.896605Z,CUST005740,CD-1000015,2021-05-28
CUST006288|CD-1000016|2026-02-11,15,,"Customer_ID,CD_Number,Issue_Date",,KEY_MISSING_IN_DEST,High,composite_key,CUST006288|CD-1000016|2026-02-11,CUST006288|CD-1000016|2026-02-11,,,,,2026-05-02T18:18:29.896605Z,CUST006288,CD-1000016,2026-02-11
CUST004106|CD-1000017|2021-09-30,16,,"Customer_ID,CD_Number,Issue_Date",,KEY_MISSING_IN_DEST,High,composite_key,CUST004106|CD-1000017|2021-09-30,CUST004106|CD-1000017|2021-09-30,,,,,2026-05-02T18:18:29.896605Z,CUST004106,CD-1000017,2021-09-30
CUST001025|CD-1000018|2021-02-17,17,,"Customer_ID,CD_Number,Issue_Date",,KEY_MISSING_IN_DEST,High,composite_key,CUST001025|CD-1000018|2021-02-17,CUST001025|CD-1000018|2021-02-17,,,,,2026-05-02T18:18:29.896605Z,CUST001025,CD-1000018,2021-02-17
CUST006718|CD-1000019|2023-06-04,18,,"Customer_ID,CD_Number,Issue_Date",,KEY_MISSING_IN_DEST,High,composite_key,CUST006718|CD-1000019|2023-06-04,CUST006718|CD-1000019|2023-06-04,,,,,2026-05-02T18:18:29.896605Z,CUST006718,CD-1000019,2023-06-04
CUST003603|CD-1000020|2021-12-28,19,,"Customer_ID,CD_Number,Issue_Date",,KEY_MISSING_IN_DEST,High,composite_key,CUST003603|CD-1000020|2021-12-28,CUST003603|CD-1000020|2021-12-28,,,,,2026-05-02T18:18:29.896605Z,CUST003603,CD-1000020,2021-12-28
CUST004003|CD-1000021|2022-11-01,20,,"Customer_ID,CD_Number,Issue_Date",,KEY_MISSING_IN_DEST,High,composite_key,CUST004003|CD-1000021|2022-11-01,CUST004003|CD-1000021|2022-11-01,,,,,2026-05-02T18:18:29.896605Z,CUST004003,CD-1000021,2022-11-01
CUST002967|CD-1000022|2024-07-11,21,,"Customer_ID,CD_Number,Issue_Date",,KEY_MISSING_IN_DEST,High,composite_key,CUST002967|CD-1000022|2024-07-11,CUST002967|CD-1000022|2024-07-11,,,,,2026-05-02T18:18:29.896605Z,CUST002967,CD-1000022,2024-07-11
CUST001461|CD-1000023|2020-06-27,22,,"Customer_ID,CD_Number,Issue_Date",,KEY_MISSING_IN_DEST,High,composite_key,CUST001461|CD-1000023|2020-06-27,CUST001461|CD-1000023|2020-06-27,,,,,2026-05-02T18:18:29.896605Z,CUST001461,CD-1000023,2020-06-27
CUST007414|CD-1000024|2023-03-07,23,,"Customer_ID,CD_Number,Issue_Date",,KEY_MISSING_IN_DEST,High,composite_key,CUST007414|CD-1000024|2023-03-07,CUST007414|CD-1000024|2023-03-07,,,,,2026-05-02T18:18:29.896605Z,CUST007414,CD-1000024,2023-03-07
CUST006252|CD-1000025|2020-02-19,24,,"Customer_ID,CD_Number,Issue_Date",,KEY_MISSING_IN_DEST,High,composite_key,CUST006252|CD-1000025|2020-02-19,CUST006252|CD-1000025|2020-02-19,,,,,2026-05-02T18:18:29.896605Z,CUST006252,CD-1000025,2020-02-19
CUST005151|CD-1000026|2020-04-10,25,,"Customer_ID,CD_Number,Issue_Date",,KEY_MISSING_IN_DEST,High,composite_key,CUST005151|CD-1000026|2020-04-10,CUST005151|CD-1000026|2020-04-10,,,,,2026-05-02T18:18:29.896605Z,CUST005151,CD-1000026,2020-04-10
CUST003219|CD-1000027|2020-07-30,26,,"Customer_ID,CD_Number,Issue_Date",,KEY_MISSING_IN_DEST,High,composite_key,CUST003219|CD-1000027|2020-07-30,CUST003219|CD-1000027|2020-07-30,,,,,2026-05-02T18:18:29.896605Z,CUST003219,CD-1000027,2020-07-30
CUST006582|CD-1000028|2021-01-03,27,,"Customer_ID,CD_Number,Issue_Date",,KEY_MISSING_IN_DEST,High,composite_key,CUST006582|CD-1000028|2021-01-03,CUST006582|CD-1000028|2021-01-03,,,,,2026-05-02T18:18:29.896605Z,CUST006582,CD-1000028,2021-01-03
CUST004363|CD-1000029|2022-03-08,28,,"Customer_ID,CD_Number,Issue_Date",,KEY_MISSING_IN_DEST,High,composite_key,CUST004363|CD-1000029|2022-03-08,CUST004363|CD-1000029|2022-03-08,,,,,2026-05-02T18:18:29.896605Z,CUST004363,CD-1000029,2022-03-08
